Index	TID	Accession	Synonym	Description
1457	208	Q9UNI1	ELA1	Chymotrypsin-like elastase family member 1
1458	100918	Q09013	DM1PK 	Myotonin-protein kinase
1459	12159	P56658	ADA	Adenosine deaminase
1460	12046	Q9H4B7	TUBB1	Tubulin beta-1 chain
1461	104536	Q00342	Flk-2 	Receptor-type tyrosine-protein kinase FLT3
1462	10146	Q9Y237	PIN4	Peptidyl-prolyl cis-trans isomerase NIMA-interacting 4
1463	12683	Q15118	PDHK1	[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial
1464	101068	P0AD64	shv1	Beta-lactamase SHV-1
1465	12685	Q16654	PDHK4	[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 4, mitochondrial
1466	12687	P14842	Htr2	5-hydroxytryptamine receptor 2A
1467	12689	P08909	5ht1c 	5-hydroxytryptamine receptor 2C
1468	109946	Q2FZQ3	fabI	Enoyl-[acyl-carrier-protein] reductase [NADPH] FabI
1469	101067	P0A9J6	None	Ribokinase
1470	11797	Q9UKV0	HDAC7 	Histone deacetylase 9
1471	101061	Q9Z0R9	Fadsd2	Fatty acid desaturase 2
1472	101062	Q9Z122	Fadsd6	Fatty acid desaturase 2
1473	19634	P11716	RYR1	Ryanodine receptor 1
1474	10827	O43280	TREA	Trehalase
1475	19636	P89582	pol	Integrase
1476	100824	Q8IY84	NIM1	Serine/threonine-protein kinase NIM1
1477	100823	Q9ZTP8	hd1b	Histone deacetylase
1478	19632	P41921	GLR1	Glutathione reductase
1479	101269	Q8TDC3	KIAA1811 	Serine/threonine-protein kinase BRSK1
1480	101266	Q8SPZ1	GNRHR	Gonadotropin-releasing hormone receptor
1481	101267	Q8T9Z7	PNP	Purine nucleoside phosphorylase
1482	101264	Q8RT60	None	Beta-lactamase
1483	100042	Q9EPB1	Dpp2	Dipeptidyl peptidase 2
1484	100045	Q53725	ftsI_2	Cell division protein FtsI (Peptidoglycan synthetase)
1485	100044	P97266	OPRM1	Mu-type opioid receptor
1486	100046	Q5D1F0	Penicillin-binding protein 3	Penicillin-binding protein 3
1487	101086	Q28263	PDEA	Rod cGMP-specific 3',5'-cyclic phosphodiesterase subunit alpha
1488	101087	Q2TJZ7	PTGES	Microsomal prostaglandin E synthase-1
1489	101084	Q27686	PYK	Pyruvate kinase
1490	101085	Q27757	Luciferin 4-monooxygenase	Luciferin 4-monooxygenase
1491	101082	Q1HEC0	Acacb	Acetyl-Coenzyme A carboxylase 2
1492	104560	Q8N5Z0	KAT2	Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial
1493	101081	Q17066	Cdc2	Cdc2
1494	12023	Q9H228	EDG8	Sphingosine 1-phosphate receptor 5
1495	30007	P16591	TYK3	Tyrosine-protein kinase Fer
1496	101089	Q389T8	Trypanothione reductase	Trypanothione reductase
1497	100860	P51683	Cmkbr2	C-C chemokine receptor type 2
1498	104163	Q61143	Trp6 	Short transient receptor potential channel 6
1499	226	P13945	ADRB3R 	Beta-3 adrenergic receptor
1500	100933	Q9UGN5	ADPRT2 	Poly [ADP-ribose] polymerase 2
1501	11663	P09874	ADPRT 	Poly [ADP-ribose] polymerase 1
1502	109771	Q9NVM4	KIAA1933	Protein arginine N-methyltransferase 7
1503	100935	Q9UHC3	ACCN3 	Acid-sensing ion channel 3
1504	12029	P10323	ACRS	Acrosin
1505	11464	P30191	Gabra-6	Gamma-aminobutyric acid receptor subunit alpha-6
1506	101408	Q9BXA7	SPOGA1 	Testis-specific serine/threonine-protein kinase 1
1507	104169	O94782	USP1	Ubiquitin carboxyl-terminal hydrolase 1
1508	11461	O88533	Ddc	Aromatic-L-amino-acid decarboxylase
1509	105186	Q5NGQ3	fabI	Enoyl-[acyl-carrier-protein] reductase [NADH]
1510	11462	P80041	DDC	Aromatic-L-amino-acid decarboxylase
1511	101403	Q9BPW9	RDH15 	Dehydrogenase/reductase SDR family member 9
1512	101400	Q99835	SMOH	Smoothened homolog
1513	19905	Q99705	GPR24 	Melanin-concentrating hormone receptor 1
1514	101406	Q9BW60	SSC1	Elongation of very long chain fatty acids protein 1
1515	104164	Q7CIL8	None	DNA topoisomerase 1
1516	101405	Q9BVS4	RIOK2	Serine/threonine-protein kinase RIO2
1517	10354	P40220	CRABP1	Cellular retinoic acid-binding protein 1
1518	105568	P51144	TAC2R	Substance-K receptor
1519	10356	Q6GI75	fabI	Enoyl-[acyl-carrier-protein] reductase [NADPH] FabI
1520	10819	P02708	ACHRA 	Acetylcholine receptor subunit alpha
1521	10351	P23097	Mmp13	Collagenase 3
1522	10352	P21555	Npy1r	Neuropeptide Y receptor type 1
1523	10353	Q5R387	PLA2G2C	Putative inactive group IIC secretory phospholipase A2
1524	105561	Q9BV47	DUSP24 	Dual specificity protein phosphatase 26
1525	105560	P80025	LPO	Lactoperoxidase
1526	30005	O94768	DRAK2	Serine/threonine-protein kinase 17B
1527	11938	P52209	PGDH	6-phosphogluconate dehydrogenase, decarboxylating
1528	105565	O77746	PDE5	cGMP-specific 3',5'-cyclic phosphodiesterase
1529	105564	A4IFJ5	CPLA2 	Cytosolic phospholipase A2
1530	105567	P47745	ADORA1	Adenosine receptor A1
1531	105566	P13108	Cyp2d-4	Cytochrome P450 2D4
1532	104161	P31401	VHA55	V-type proton ATPase subunit B
1533	10688	P08911	Chrm-5	Muscarinic acetylcholine receptor M5
1534	10689	Q9Z1K9	Tace	Disintegrin and metalloproteinase domain-containing protein 17
1535	17154	D3ZJF9	None	Galactosidase, alpha
1536	102698	O60760	GSTS 	Hematopoietic prostaglandin D synthase
1537	103780	Q8TDS5	GPR170 	Oxoeicosanoid receptor 1
1538	10686	P05363	TAC2R	Substance-K receptor
1539	105484	A4GTP0	LGALS3	Galectin
1540	10684	P09871	C1S	Complement C1s subcomponent
1541	10685	P14600	Tac1r	Substance-P receptor
1542	107970	Q9NPI1	BP75 	Bromodomain-containing protein 7
1543	105347	Q9UPN9	KIAA1113 	E3 ubiquitin-protein ligase TRIM33
1544	17081	P35463	EDNRB	Endothelin B receptor
1545	17080	P34976	AGTR1	Type-1 angiotensin II receptor
1546	12268	Q9UHL4	DPP2 	Dipeptidyl peptidase 2
1547	109669	O61059	LmGT2	Glucose transporter
1548	17085	P43367	CAPN2	Calpain-2 catalytic subunit
1549	17084	P41144	OPRK1	Kappa-type opioid receptor
1550	17087	P48999	Alox5	Arachidonate 5-lipoxygenase
1551	101311	Q92887	CMOAT 	Canalicular multispecific organic anion transporter 1
1552	10750	P48032	Timp-3	Metalloproteinase inhibitor 3
1553	10751	O15111	IKKA 	Inhibitor of nuclear factor kappa-B kinase subunit alpha
1554	10752	O14920	IKKB	Inhibitor of nuclear factor kappa-B kinase subunit beta
1555	12261	P45983	JNK1 	Mitogen-activated protein kinase 8
1556	10754	Q13231	CHIT1	Chitotriosidase-1
1557	10756	Q05209	PTPN12	Tyrosine-protein phosphatase non-receptor type 12
1558	12265	P28190	ADORA1	Adenosine receptor A1
1559	10530	P35377	Oor 	Nociceptin receptor
1560	10531	O96017	CDS1 	Serine/threonine-protein kinase Chk2
1561	10532	P06276	CHE1	Cholinesterase
1562	10533	Q03311	Bche	Cholinesterase
1563	10535	P51575	P2X1	P2X purinoceptor 1
1564	10536	P47824	P2rx1	P2X purinoceptor 1
1565	10537	Q9UBL9	P2X2	P2X purinoceptor 2
1566	10539	P51579	P2rxl1	P2X purinoceptor 6
1567	11806	Q60612	Adora1	Adenosine receptor A1
1568	20119	P68795	fabH	3-oxoacyl-[acyl-carrier-protein] synthase 3
1569	101307	Q920L5	Face 	Elongation of very long chain fatty acids protein 6
1570	20115	P59264	Basic phospholipase A2 PLA-A	Basic phospholipase A2 PLA-A
1571	20114	P56526	aglA	Alpha-glucosidase
1572	20117	P0DB00	fabH	3-oxoacyl-[acyl-carrier-protein] synthase 3
1573	20116	P61431	murB	UDP-N-acetylenolpyruvoylglucosamine reductase
1574	20111	P0C1U9	grlA	DNA topoisomerase 4 subunit A
1575	20110	P49187	Jnk3 	Mitogen-activated protein kinase 10
1576	20113	P55055	LXRB 	Oxysterols receptor LXR-beta
1577	107589	Q2NL67	PARP6	Poly [ADP-ribose] polymerase 6
1578	107588	P01103	MYB	Transcriptional activator Myb
1579	107583	Q921V5	Mgat2	Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase
1580	107587	P26572	GGNT1 	Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase
1581	107586	Q09327	GGNT3	Beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase
1582	3	O76074	PDE5	cGMP-specific 3',5'-cyclic phosphodiesterase
1583	11939	P48736	PIK3CG	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform
1584	12311	Q91WG0	Ces2	Acylcarnitine hydrolase
1585	106565	C5ISA2	None	Tubulin alpha chain
1586	104409	P70385	Edh17b3	Testosterone 17-beta-dehydrogenase 3
1587	11934	O60733	PLPLA9	85/88 kDa calcium-independent phospholipase A2
1588	11931	Q6B4J2	VKORC1	Vitamin K epoxide reductase complex subunit 1
1589	11930	Q6B856	TUBB2B	Tubulin beta-2B chain
1590	12919	O14733	JNKK2 	Dual specificity mitogen-activated protein kinase kinase 7
1591	101282	O15146	MUSK	Muscle, skeletal receptor tyrosine-protein kinase
1592	100479	Q9UHI8	KIAA1346 	A disintegrin and metalloproteinase with thrombospondin motifs 1
1593	12910	P30989	NTRR	Neurotensin receptor type 1
1594	12911	P11712	CYP2C10	Cytochrome P450 2C9
1595	12912	P33261	CYP2C19	Cytochrome P450 2C19
1596	12913	Q02763	TIE2 	Angiopoietin-1 receptor
1597	12914	P25963	IKBA 	NF-kappa-B inhibitor alpha
1598	12915	Q14164	IKKE 	Inhibitor of nuclear factor kappa-B kinase subunit epsilon
1599	12409	P00375	Dhfr	Dihydrofolate reductase
1600	107635	Q13107	UNP 	Ubiquitin carboxyl-terminal hydrolase 4
1601	104404	A9X4R8	MMP-12	Matrix metalloproteinase-12
1602	10226	Q9NRE1	MMP26	Matrix metalloproteinase-26
1603	10227	Q9UBS5	GPRC3A	Gamma-aminobutyric acid type B receptor subunit 1
1604	10221	P27139	Ca2	Carbonic anhydrase 2
1605	10222	Q9NQW7	XPNPEPL 	Xaa-Pro aminopeptidase 1
1606	10223	P28329	CHAT	Choline O-acetyltransferase
1607	10928	P49684	Gpr14 	Urotensin-2 receptor
1608	22	P63231	M	Matrix protein 2
1609	20020	O14976	GAK	Cyclin-G-associated kinase
1610	20023	O19045	F10	Coagulation factor X
1611	20022	O15770	GR3	Glutathione reductase
1612	20025	O43353	CARDIAK 	Receptor-interacting serine/threonine-protein kinase 2
1613	20027	O54814	Cmkbr3	C-C chemokine receptor type 3
1614	104466	P30083	Vipr1	Vasoactive intestinal polypeptide receptor 1
1615	17048	P0A9A6	sfiB 	Cell division protein FtsZ
1616	104403	P79227	MMP12	Macrophage metalloelastase
1617	109513	Q9H2J7	B0AT2 	Sodium-dependent neutral amino acid transporter B(0)AT2
1618	10541	P51582	NRU	P2Y purinoceptor 4
1619	10540	Q64663	P2rx7	P2X purinoceptor 7
1620	109881	Q9UIV1	CAF1	CCR4-NOT transcription complex subunit 7
1621	12406	P51682	Cmkbr5	C-C chemokine receptor type 5
1622	107634	Q93008	DFFRX 	Probable ubiquitin carboxyl-terminal hydrolase FAF-X
1623	104627	Q62633	Ntcp2	Ileal sodium/bile acid cotransporter
1624	103101	Q13304	GPR17	Uracil nucleotide/cysteinyl leukotriene receptor
1625	61	P11229	CHRM1	Muscarinic acetylcholine receptor M1
1626	62	P11387	TOP1	DNA topoisomerase 1
1627	63	P11388	TOP2	DNA topoisomerase 2-alpha
1628	64	P11473	NR1I1	Vitamin D3 receptor
1629	65	P11511	ARO1 	Aromatase
1630	68	P12268	IMPD2	Inosine-5'-monophosphate dehydrogenase 2
1631	69	P12821	DCP 	Angiotensin-converting enzyme
1632	100477	P54690	Bcat1	Branched-chain-amino-acid aminotransferase, cytosolic
1633	100845	Q5VT25	KIAA0451	Serine/threonine-protein kinase MRCK alpha
1634	101306	Q920L1	Fads1	Fatty acid desaturase 1
1635	11891	P31423	Gprc1d 	Metabotropic glutamate receptor 4
1636	105562	P05100	None	DNA-3-methyladenine glycosylase 1
1637	104589	P50747	HLCS	Biotin--protein ligase
1638	100866	O14843	GPR41	Free fatty acid receptor 3
1639	12860	P18434	ATP4B	Potassium-transporting ATPase subunit beta
1640	12861	O75173	KIAA0688	A disintegrin and metalloproteinase with thrombospondin motifs 4
1641	12862	Q9UNA0	ADAMTS11 	A disintegrin and metalloproteinase with thrombospondin motifs 5
1642	12863	Q61614	Gpcr10	Endothelin-1 receptor
1643	30002	Q13555	CAMK 	Calcium/calmodulin-dependent protein kinase type II subunit gamma
1644	12865	P35439	Nmdar1	Glutamate receptor ionotropic, NMDA 1
1645	30000	Q2M2I8	KIAA1048	AP2-associated protein kinase 1
1646	30001	Q7KZI7	EMK1	Serine/threonine-protein kinase MARK2
1647	12868	P34960	Mme 	Macrophage metalloelastase
1648	30008	P29317	ECK	Ephrin type-A receptor 2
1649	30009	P29320	ETK 	Ephrin type-A receptor 3
1650	108256	O43826	G6PT 	Glucose-6-phosphate exchanger SLC37A4
1651	108250	Q9UJU2	LEF1	Lymphoid enhancer-binding factor 1
1652	103651	O55193	Cmkbr2	C-C chemokine receptor type 2
1653	11068	P11717	MPRI	Cation-independent mannose-6-phosphate receptor
1654	103038	Q6XKD3	Crth2 	Prostaglandin D2 receptor 2
1655	11061	O43193	GPR38 	Motilin receptor
1656	11060	P43166	CA7	Carbonic anhydrase 7
1657	11063	Q9ULX7	CA14	Carbonic anhydrase 14
1658	103740	Q3Y5H1	3C-like protease	3C-like protease
1659	103747	Q92560	KIAA0272	Ubiquitin carboxyl-terminal hydrolase BAP1
1660	11064	P32214	Calcr	Calcitonin receptor
1661	103745	Q8IEK1	M1-family alanyl aminopeptidase	M1-family alanyl aminopeptidase
1662	103744	Q6QLK5	env	Envelope glycoprotein gp160
1663	103059	P09848	LPH	Lactase-phlorizin hydrolase
1664	106579	G3FIN0	Threonyl-tRNA synthase	Threonyl-tRNA synthase
1665	104011	Q9GZR1	KIAA0797 	Sentrin-specific protease 6
1666	101411	O75385	KIAA0722	Serine/threonine-protein kinase ULK1
1667	11320	Q02769	Fdft1	Squalene synthase
1668	104333	Q9ULW8	PAD3 	Protein-arginine deiminase type-3
1669	11326	P12081	HRS	Histidine--tRNA ligase, cytoplasmic
1670	11324	P07814	GLNS 	Bifunctional glutamate/proline--tRNA ligase
1671	11325	P17425	Hmgcs	Hydroxymethylglutaryl-CoA synthase, cytoplasmic
1672	11328	P09601	HO 	Heme oxygenase 1
1673	11329	Q03142	Fgfr-4 	Fibroblast growth factor receptor 4
1674	103637	Q7K6A1	Histone deacetylase	Histone deacetylase
1675	103634	Q7M3D2	Renin	Renin
1676	103633	Q6DLW5	REN	Renin
1677	12469	P35918	Flk-1 	Vascular endothelial growth factor receptor 2
1678	100459	Q60492	OPRS1	Sigma non-opioid intracellular receptor 1
1679	12464	Q4U254	protease	Protease
1680	100457	Q8ST54	HK	Phosphotransferase
1681	100454	Q965D7	fabZ	Beta-hydroxyacyl-ACP dehydratase
1682	100107	P00521	ABL	Tyrosine-protein kinase transforming protein Abl
1683	100100	O43497	KIAA1123	Voltage-dependent T-type calcium channel subunit alpha-1G
1684	100453	Q9HUN3	dnaB	Replicative DNA helicase
1685	100450	Q16769	QPCT	Glutaminyl-peptide cyclotransferase
1686	100103	P00546	CDK1 	Cyclin-dependent kinase 1
1687	103652	Q6Y3N0	CCR2 protein	CCR2 protein
1688	100474	Q07973	CYP24	1,25-dihydroxyvitamin D(3) 24-hydroxylase, mitochondrial
1689	104017	Q9Y4P1	APG4B 	Cysteine protease ATG4B
1690	103819	Q3S5C3	None	Efflux transporter
1691	104331	Q9ULC6	PAD1 	Protein-arginine deiminase type-1
1692	11498	O43603	GALNR2	Galanin receptor type 2
1693	11499	O43895	XPNPEP2	Xaa-Pro aminopeptidase 2
1694	11490	P50233	Hsd11k	Corticosteroid 11-beta-dehydrogenase isozyme 2
1695	11491	P11348	Dhpr	Dihydropteridine reductase
1696	11492	P23574	Gabrg1	Gamma-aminobutyric acid receptor subunit gamma-1
1697	104223	Q86W56	PARG	Poly(ADP-ribose) glycohydrolase
1698	104227	Q1ZY22	CMKBR5	C-C chemokine receptor type 5
1699	11259	P21450	EDNRA	Endothelin-1 receptor
1700	11257	P31350	RR2	Ribonucleoside-diphosphate reductase subunit M2
1701	11254	O95718	ERRB2 	Steroid hormone receptor ERR2
1702	11255	P62508	ERR3 	Estrogen-related receptor gamma
1703	11250	P11541	PDEA	Rod cGMP-specific 3',5'-cyclic phosphodiesterase subunit alpha
1704	11251	P80276	ALR2	Aldose reductase
1705	100218	P96618	ydcB	Holo-[acyl-carrier-protein] synthase
1706	102414	Q2NNR5	CYSLTR1	Cysteinyl leukotriene receptor 1
1707	11277	P24347	STMY3	Stromelysin-3
1708	103925	P00591	PNLIP	Pancreatic triacylglycerol lipase
1709	103924	O75608	APT1 	Acyl-protein thioesterase 1
1710	100211	P25910	cfiA	Metallo-beta-lactamase type 2
1711	100214	O31211	murC	UDP-N-acetylmuramate--L-alanine ligase
1712	100215	P0A091	murD	UDP-N-acetylmuramoylalanine--D-glutamate ligase
1713	100216	P9WQN9	mpt45	Diacylglycerol acyltransferase/mycolyltransferase Ag85C
1714	100217	Q07817	BCL2L 	Bcl-2-like protein 1
1715	216	P18089	ADRA2L1 	Alpha-2B adrenergic receptor
1716	214	P08173	CHRM4	Muscarinic acetylcholine receptor M4
1717	215	P08912	CHRM5	Muscarinic acetylcholine receptor M5
1718	213	P06479	TK	Thymidine kinase
1719	11628	P35790	CHK 	Choline kinase alpha
1720	104580	Q6PCB7	ACSVL5 	Long-chain fatty acid transport protein 1
1721	218	P18825	ADRA2L2 	Alpha-2C adrenergic receptor
1722	219	P20309	CHRM3	Muscarinic acetylcholine receptor M3
1723	11784	Q01279	Egfr	Epidermal growth factor receptor
1724	11785	P08631	HCK	Tyrosine-protein kinase HCK
1725	11787	P41252	IARS	Isoleucine--tRNA ligase, cytoplasmic
1726	11780	P12657	Chrm-1	Muscarinic acetylcholine receptor M1
1727	105682	Q8VIH9	Gpr14	Urotensin-2 receptor
1728	12078	Q9Z0U4	Gabbr1	Gamma-aminobutyric acid type B receptor subunit 1
1729	12077	P70618	Csbp1 	Mitogen-activated protein kinase 14
1730	12076	P10980	Chrm-2	Muscarinic acetylcholine receptor M2
1731	12075	P15684	Anpep	Aminopeptidase N
1732	12074	P17708	Amd1	S-adenosylmethionine decarboxylase proenzyme
1733	11789	P08648	FNRA	Integrin alpha-5
1734	12071	P06493	CDC2 	Cyclin-dependent kinase 1
1735	100074	Q09137	Ampk 	5'-AMP-activated protein kinase catalytic subunit alpha-2
1736	100075	P37173	TGFBR2	TGF-beta receptor type-2
1737	101079	Q16832	NTRKR3 	Discoidin domain-containing receptor 2
1738	100077	O00311	CDC7L1	Cell division cycle 7-related protein kinase
1739	12679	P21730	C5AR 	C5a anaphylatoxin chemotactic receptor 1
1740	12678	P21673	SAT	Diamine acetyltransferase 1
1741	101348	P51817	PKX1	cAMP-dependent protein kinase catalytic subunit PRKX
1742	104593	Q14145	INRF2 	Kelch-like ECH-associated protein 1
1743	12674	P63151	PPP2R2A	Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform
1744	12677	P15514	AREGB 	Amphiregulin
1745	101070	P0A031	ftsZ	Cell division protein FtsZ
1746	104597	Q3ZKN1	CTSK	Cathepsin K
1747	100079	P07949	CDHF12 	Proto-oncogene tyrosine-protein kinase receptor Ret
1748	12673	P34914	Eph2	Bifunctional epoxide hydrolase 2
1749	104594	P9WIC1	Intracellular chorismate mutase	Intracellular chorismate mutase
1750	10813	P00630	Phospholipase A2	Phospholipase A2
1751	100853	Q9H422	DYRK6 	Homeodomain-interacting protein kinase 3
1752	10811	Q13464	ROCK1	Rho-associated protein kinase 1
1753	10810	Q14761	LPAP	Protein tyrosine phosphatase receptor type C-associated protein
1754	19645	P09790	iga	IgA-specific serine endopeptidase autotransporter
1755	4	O95180	CACNA1H	Voltage-dependent T-type calcium channel subunit alpha-1H
1756	100854	Q14680	KIAA0175	Maternal embryonic leucine zipper kinase
1757	10814	Q9HBW0	EDG4 	Lysophosphatidic acid receptor 2
1758	101275	Q91WC9	Daglb	Sn1-specific diacylglycerol lipase beta
1759	104104	Q9QXI6	None	SGLT1 protein
1760	100858	P51680	Cmkbr4	C-C chemokine receptor type 4
1761	104356	Q9NP87	polmu	DNA-directed DNA/RNA polymerase mu
1762	101271	Q8TDV5	GPR119	Glucose-dependent insulinotropic receptor
1763	101417	O88351	Ikkb	Inhibitor of nuclear factor kappa-B kinase subunit beta
1764	101095	Q6RI86	Anktm1	Transient receptor potential cation channel subfamily A member 1
1765	101094	Q6R3M4	Rad30b	DNA polymerase iota
1766	101097	Q6W5P4	GPR154 	Neuropeptide S receptor
1767	101096	Q6T3U3	Npc1l1	Niemann-Pick C1-like protein 1
1768	101091	Q3UP87	Ela2	Neutrophil elastase
1769	101090	Q3BCU0	BDKRB1	B1 bradykinin receptor
1770	101093	Q6QIY3	Sns	Sodium channel protein type 10 subunit alpha
1771	103575	Q9JJJ7	Porc 	Protein-serine O-palmitoleoyltransferase porcupine
1772	109557	C0HJB3	Alpha-mannosidase	Alpha-mannosidase
1773	104107	P16671	GP3B 	Platelet glycoprotein 4
1774	101099	Q700B8	chiC1	Chitinase C1
1775	101098	Q6WQJ1	Kiaa0659 	Sn1-specific diacylglycerol lipase alpha
1776	11710	P49138	Rps6kc1	MAP kinase-activated protein kinase 2
1777	100271	P06492	Tegument protein VP16	Tegument protein VP16
1778	101340	P21709	EPH 	Ephrin type-A receptor 1
1779	18058	Q02294	Cach5 	Voltage-dependent N-type calcium channel subunit alpha-1B
1780	11670	P19969	Gabra-5	Gamma-aminobutyric acid receptor subunit alpha-5
1781	11676	Q9NXG6	PH4	Transmembrane prolyl 4-hydroxylase
1782	11677	P29476	Bnos	Nitric oxide synthase, brain
1783	11678	P24941	CDKN2	Cyclin-dependent kinase 2
1784	103103	Q9WUL0	Top1	DNA topoisomerase 1
1785	12789	Q29010	EDNRA	Endothelin-1 receptor
1786	12788	P06211	Esr 	Estrogen receptor
1787	103102	Q8TF76	GSG2	Serine/threonine-protein kinase haspin
1788	11472	P40763	APRF	Signal transducer and activator of transcription 3
1789	11473	P78536	CSVP 	Disintegrin and metalloproteinase domain-containing protein 17
1790	11471	P19623	SPS1 	Spermidine synthase
1791	105176	O60928	KCNJ13	Inward rectifier potassium channel 13
1792	12780	P19784	CK2A2	Casein kinase II subunit alpha'
1793	12783	Q64602	Kat2	Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial
1794	101412	O75762	ANKTM1	Transient receptor potential cation channel subfamily A member 1
1795	101415	O75956	DOC1R	Cyclin-dependent kinase 2-associated protein 2
1796	101414	O75907	AGRP1 	Diacylglycerol O-acyltransferase 1
1797	12787	P19785	Esr 	Estrogen receptor
1798	12786	P30872	SSTR1	Somatostatin receptor type 1
1799	10320	P53582	KIAA0094	Methionine aminopeptidase 1
1800	10323	Q96IY4	CPB2	Carboxypeptidase B2
1801	10324	P50247	Ahcy	Adenosylhomocysteinase
1802	10329	P43115	PTGER3	Prostaglandin E2 receptor EP3 subtype
1803	10328	P16232	Hsd11	Corticosteroid 11-beta-dehydrogenase isozyme 1
1804	12836	O15399	GluN2D 	Glutamate receptor ionotropic, NMDA 2D
1805	106555	B4FS76	Delta(14)-sterol reductase	Delta(14)-sterol reductase
1806	102680	O60427	FADSD5	Fatty acid desaturase 1
1807	102682	P12318	CD32 	Low affinity immunoglobulin gamma Fc region receptor II-a
1808	102684	Q14376	GALE	UDP-glucose 4-epimerase
1809	103108	Q93096	PRL1 	Protein tyrosine phosphatase type IVA 1
1810	102689	P23416	GLRA2	Glycine receptor subunit alpha-2
1811	17145	Q9UBS0	STK14B	Ribosomal protein S6 kinase beta-2
1812	244	P16066	ANPRA	Atrial natriuretic peptide receptor 1
